Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN,matched_name,use_microbit
"Prairie-Hills Elementary School District #144, Illinois",NDA,PRAIRIE-HILLS ELEMENTARY SCHOOL DISTRICT #144,ILLINOIS,NCES_District-1721130,100 1st St,Kings,http://kings144.org,KINGS CONS SD 144,Yes
"Shrewsbury Public Schools, Massachusetts",NDA,SHREWSBURY PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2510770,100 Maple Avenue,Shrewsbury,http://schools.shrewsburyma.gov/,SHREWSBURY,Yes
"Department of Health and Human Services - GSA, District of Columbia",NDA,DEPARTMENT OF HEALTH AND HUMAN SERVICES - GSA,DISTRICT OF COLUMBIA,NCES_District-1100094,2315 18TH PLACE NE,Washington,http://www.aohdc.org,ACADEMY OF HOPE ADULT PCS,Yes
"North Brevard County Hospital District, Florida",NDA,NORTH BREVARD COUNTY HOSPITAL DISTRICT,FLORIDA,NCES_District-1200150,2700 JUDGE FRAN JAMIESON WAY,VIERA,http://www.brevardschools.org,BREVARD,Yes
"Monroe Township School District (Middlesex County), New Jersey",NDA,MONROE TOWNSHIP SCHOOL DISTRICT (MIDDLESEX COUNTY),NEW JERSEY,NCES_District-3410500,423 BUCKELEW AVENUE,MONROE TOWNSHIP,http://WWW.MONROE.K12.NJ.US,MONROE TOWNSHIP SCHOOL DISTRICT,Yes
"Butte Vista School, California",NDA,BUTTE VISTA SCHOOL,CALIFORNIA,NCES_District-0601745,50 Moreland Rd.,Simi Valley,http://www.caliva.org,INSIGHT SCHOOL OF CALIFORNIA DISTRICT,Yes
"Channahon School District No. 17, Illinois",NDA,CHANNAHON SCHOOL DISTRICT NO. 17,ILLINOIS,NCES_District-1710570,413 N Appleknocker St,Cobden,http://www.cobdenappleknockers.com,COBDEN SUD 17,Yes
"West Plains R-VII Schools, Missouri",NDA,WEST PLAINS R-VII SCHOOLS,MISSOURI,NCES_District-2931680,610 East Olden Street,WEST PLAINS,http://www.zizzers.org,WEST PLAINS R-VII,Yes
"Aspire Pacific College Preparatory Academy, California",NDA,ASPIRE PACIFIC COLLEGE PREPARATORY ACADEMY,CALIFORNIA,NCES_District-0602101,27587 La Piedra Rd.,Menifee,http://www.sra.mn,SANTA ROSA ACADEMY DISTRICT,Yes
"Lemoore Union High School District, California",NDA,LEMOORE UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0621400,5 Powell Ave.,Lemoore,http://www.luhsd.k12.ca.us,LEMOORE UNION HIGH,Yes
"West Greene School District, Pennsylvania",NDA,WEST GREENE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4225440,1352 Hargus Creek Road,Waynesburg,http://www.wgsd.org,WEST GREENE SD,Yes
"Chicago Public Schools, Illinois",NDA,CHICAGO PUBLIC SCHOOLS,ILLINOIS,NCES_District-1709930,42 W Madison St 2nd Flr,Chicago,http://www.cps.k12.il.us,CHICAGO PUBLIC SCHOOLS DIST 299,Yes
"Lemont-Bromberek Combined School District 113A, Illinois",NDA,LEMONT-BROMBEREK COMBINED SCHOOL DISTRICT 113A,ILLINOIS,NCES_District-1701397,14040 E 1200th Rd,Paris,,PARIS COOPERATIVE HIGH SCHOOL,Yes
"Nashoba Regional School District, Massachusetts",NDA,NASHOBA REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,NCES_District-2508310,50 Mechanic Street,Bolton,http://www.nrsd.net,NASHOBA,Yes
"Spring Grove Area School District, Pennsylvania",NDA,SPRING GROVE AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4222590,100 E College Ave,Spring Grove,http://www.sgasd.org,SPRING GROVE AREA SD,Yes
"Desert Sands Unified School District, California",NDA,DESERT SANDS UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0611110,47-950 Dune Palms Rd.,La Quinta,http://www.dsusd.us,DESERT SANDS UNIFIED,Yes
"Department of Agriculture - GSA, District of Columbia",NDA,DEPARTMENT OF AGRICULTURE - GSA,DISTRICT OF COLUMBIA,NCES_District-1100058,405 HOWARD ROAD PLACE NW,Washington,http://www.hu-ms2.org,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,Yes
"Center Cass School District No. 66, Illinois",NDA,CENTER CASS SCHOOL DISTRICT NO. 66,ILLINOIS,NCES_District-1728270,503 Chicago Rd,Newark,http://www.ngsd66.org,NEWARK CCSD 66,Yes
"Greenbrier Public Schools, Arkansas",NDA,GREENBRIER PUBLIC SCHOOLS,ARKANSAS,NCES_District-0510290,P O BOX DRAWER D,MULBERRY,http://www.mpvschools.com,MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,Yes
"Chicago State University, Illinois",NDA,CHICAGO STATE UNIVERSITY,ILLINOIS,NCES_District-1700100,1212 W Springfield Ave,Urbana,,UNIVERSITY OF ILL LAB SCHOOL,Yes
"Radnor Township School District, Pennsylvania",NDA,RADNOR TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4219920,135 S Wayne Ave,Wayne,http://www.rtsd.org,RADNOR TOWNSHIP SD,Yes
"Department of Commerce - GSA, District of Columbia",NDA,DEPARTMENT OF COMMERCE - GSA,DISTRICT OF COLUMBIA,NCES_District-1100058,405 HOWARD ROAD PLACE NW,Washington,http://www.hu-ms2.org,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,Yes
"Storm Lake Community School District, Iowa",NDA,STORM LAKE COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1927390,PO BOX 638,Storm Lake,http://www.slcsd.org,STORM LAKE COMM SCHOOL DISTRICT,Yes
"Upper St. Clair School District, Pennsylvania",NDA,UPPER ST. CLAIR SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4224570,1775 McLaughlin Run Road,Pittsburgh,http://www.uscsd.k12.pa.us,UPPER ST. CLAIR SD,Yes
"Indiana University, Indiana",NDA,INDIANA UNIVERSITY,INDIANA,NCES_District-1800006,302 W Washington St Rm E334,Indianapolis,http://www.in.gov/idoc/,INDIANA DEPARTMENT OF CORRECTION,Yes
"Northern York County School District, Pennsylvania",NDA,NORTHERN YORK COUNTY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4217760,650 S Baltimore St,Dillsburg,http://www.northernpolarbears.com,NORTHERN YORK COUNTY SD,Yes
"Technology High School, California",NDA,TECHNOLOGY HIGH SCHOOL,CALIFORNIA,NCES_District-0602570,1494 E. Ave.,Chico,http://www.achievecharter.org,ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT,Yes
"Wyoming City School District, Ohio",NDA,WYOMING CITY SCHOOL DISTRICT,OHIO,NCES_District-3904514,420 Springfield Pike,Wyoming,http://www.wyomingcityschools.org/,WYOMING CITY,Yes
"Saginaw City School District, Michigan",NDA,SAGINAW CITY SCHOOL DISTRICT,MICHIGAN,NCES_District-2630390,550 MILLARD ST,SAGINAW,,SAGINAW SCHOOL DISTRICT OF THE CITY OF,Yes
"McCook Public Schools, Nebraska",NDA,MCCOOK PUBLIC SCHOOLS,NEBRASKA,NCES_District-3173470,700 W 7TH,MC COOK,,MC COOK PUBLIC SCHOOLS,Yes
"Chippewa Falls Area Unified SD, Wisconsin",NDA,CHIPPEWA FALLS AREA UNIFIED SD,WISCONSIN,NCES_District-5502550,1130 Miles St,Chippewa Falls,http://cfsd.chipfalls.k12.wi.us,CHIPPEWA FALLS AREA UNIFIED SCHOOL DISTRICT,Yes
"Scranton School District, Pennsylvania",NDA,SCRANTON SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280370,3300 Chester Avenue,Bethlehem,http://www.bethlehemavts.org,BETHLEHEM AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"Highland Falls-Fort Montgomery Central School District, New York",NDA,HIGHLAND FALLS-FORT MONTGOMERY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614430,PO BOX 287,HIGHLAND FALLS,http://www.hffmcsd.org,HIGHLAND FALLS CENTRAL SCHOOL DISTRICT,Yes
"New York City School District #9, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #9,NEW YORK,NCES_District-3615780,290 NORWOOD AVE,PORT JEFFERSON STATION,http://www.comsewogue.k12.ny.us,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,Yes
"Upper Dublin School District, Pennsylvania",NDA,UPPER DUBLIN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4224390,1580 Fort Washington Ave,Maple Glen,http://www.udsd.org,UPPER DUBLIN SD,Yes
"Columbia Falls School District, Montana",NDA,COLUMBIA FALLS SCHOOL DISTRICT,MONTANA,NCES_District-3013040,PO Box 2429,Great Falls,http://www.gfps.k12.mt.us/,GREAT FALLS ELEM,Yes
"Otselic Valley Central School District, New York",NDA,OTSELIC VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614730,2 PLEASANT AVE,SCHAGHTICOKE,http://www.hoosicvalley.k12.ny.us,HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,Yes
"Richfield Independent School District No. 280, Minnesota",NDA,RICHFIELD INDEPENDENT SCHOOL DISTRICT NO. 280,MINNESOTA,NCES_District-2723380,614 W MULBERRY ST,STILLWATER,http://www.newheightsschool.com/,NEW HEIGHTS SCHOOL INC.,Yes
"Muskogee Public Schools, Oklahoma",NDA,MUSKOGEE PUBLIC SCHOOLS,OKLAHOMA,NCES_District-4020970,202 W BROADWAY,MUSKOGEE,http://www.muskogeeps.org/,MUSKOGEE,Yes
"University Of New Hampshire, New Hampshire",NDA,UNIVERSITY OF NEW HAMPSHIRE,NEW HAMPSHIRE,NCES_District-3303296,19 Keewaydin Drive,Salem,http://www.artsacademynh.org,ARTS ACADEMY OF NEW HAMPSHIRE CHARTERED PUBLIC HIGH SCHOOL,Yes
"University System of New Hampshire Offices, New Hampshire",NDA,UNIVERSITY SYSTEM OF NEW HAMPSHIRE OFFICES,NEW HAMPSHIRE,NCES_District-3305040,11 School St.,Goffstown,,NEW BOSTON SCHOOL DISTRICT,Yes
"Richard Bland College, Virginia",NDA,RICHARD BLAND COLLEGE,VIRGINIA,NCES_District-5100054,P O Box 1500,Fishersville,,WILSON WORKFORCE AND REHABILITATION CENTER,Yes
"Mt. Lebanon School District, Pennsylvania",NDA,MT. LEBANON SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4280280,833 Metro Drive,Lebanon,http://www.lcctc.edu,LEBANON COUNTY CAREER AND TECHNOLOGY CENTER,Yes
"Montachusett Regional Vocational Technical School, Massachusetts",NDA,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL,MASSACHUSETTS,NCES_District-2508050,1050 Westminster Street,Fitchburg,http://www.montytech.net,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL,Yes
"Union Grove Union High School District, Wisconsin",NDA,UNION GROVE UNION HIGH SCHOOL DISTRICT,WISCONSIN,NCES_District-5515180,1745 Milldrum St,Union Grove,http://www.uges.k12.wi.us,UNION GROVE J1 SCHOOL DISTRICT,Yes
"A. Philip Randolph AVT High School, Pennsylvania",NDA,A. PHILIP RANDOLPH AVT HIGH SCHOOL,PENNSYLVANIA,NCES_District-4212335,576 Vo Tech Rd,Reynoldsville,http://jefftech.info,JEFFERSON COUNTY-DUBOIS AREA VOCATIONAL-TECHNICAL SCHOOL,Yes
"River Trails School District 26, Illinois",NDA,RIVER TRAILS SCHOOL DISTRICT 26,ILLINOIS,NCES_District-1700001,4141 IL Route 84 S,Hanover,http://riverridge210.org,RIVER RIDGE CUSD 210,Yes
"Wilson Area School District, Pennsylvania",NDA,WILSON AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4226550,2040 Washington Blvd,Easton,http://www.wilsonareasd.org,WILSON AREA SD,Yes
"School District of Springfield Township, Pennsylvania",NDA,SCHOOL DISTRICT OF SPRINGFIELD TOWNSHIP,PENNSYLVANIA,NCES_District-4218960,631 E McMurray Rd,McMurray,http://www.ptsd.k12.pa.us,PETERS TOWNSHIP SD,Yes
"Town of Shrewsbury, Massachusetts",NDA,TOWN OF SHREWSBURY,MASSACHUSETTS,NCES_District-2510770,100 Maple Avenue,Shrewsbury,http://schools.shrewsburyma.gov/,SHREWSBURY,Yes
"Pennridge School District, Pennsylvania",NDA,PENNRIDGE SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4200099,321 E. Third St,Bethlehem,http://www.charterarts.org,LEHIGH VALLEY CHARTER HIGH SCHOOL FOR THE ARTS,Yes
"Fayette County Board of Education, Georgia",NDA,FAYETTE COUNTY BOARD OF EDUCATION,GEORGIA,NCES_District-1302130,210 Stonewall Avenue West,Fayetteville,,FAYETTE COUNTY,Yes
"Kelso School District No. 458, Washington",NDA,KELSO SCHOOL DISTRICT NO. 458,WASHINGTON,NCES_District-5300003,601 CRAWFORD ST,KELSO,http://www.kelso.wednet.edu,KELSO SCHOOL DISTRICT,Yes
"Port Jefferson School District, New York",NDA,PORT JEFFERSON SCHOOL DISTRICT,NEW YORK,NCES_District-3623490,550 SCRAGGY HILL RD,PORT JEFFERSON,http://www.portjeffschools.org,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,Yes
"Lincoln High School, California",NDA,LINCOLN HIGH SCHOOL,CALIFORNIA,NCES_District-0602406,12420 Bentley St.,Waterford,http://www.cwcentralvalley.org,CONNECTING WATERS CHARTER SCHOOL - CENTRAL VALLEY DISTRICT,Yes
"Paradise Valley Unified School District, Arizona",NDA,PARADISE VALLEY UNIFIED SCHOOL DISTRICT,ARIZONA,NCES_District-0405930,15002 N 32ND ST,PHOENIX,http://www.pvschools.net/,PARADISE VALLEY UNIFIED DISTRICT (4241),Yes
"Avella Area School District, Pennsylvania",NDA,AVELLA AREA SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4202760,1000 Avella Rd,Avella,http://www.avellasd.org,AVELLA AREA SD,Yes
"Central Community College, Nebraska",NDA,CENTRAL COMMUNITY COLLEGE,NEBRASKA,NCES_District-3175630,765 MAIN STREET,SPRINGFIELD; NE,,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,Yes
"West Philadelphia High School, Pennsylvania",NDA,WEST PHILADELPHIA HIGH SCHOOL,PENNSYLVANIA,NCES_District-4289399,200 Quigley Drive,Baden,http://www.providentcharterschool.org,PROVIDENT CS - WEST,Yes
"North Colonie Central Schools, New York",NDA,NORTH COLONIE CENTRAL SCHOOLS,NEW YORK,NCES_District-3601124,200 WOODBINE ST,BROOKLYN,,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,Yes
"Benson Unified School District- Cochise County #9, Arizona",NDA,BENSON UNIFIED SCHOOL DISTRICT- COCHISE COUNTY #9,ARIZONA,NCES_District-0401050,4825 E ROOSEVELT ST,PHOENIX,http://www.balsz.org,BALSZ ELEMENTARY DISTRICT (4268),Yes
"Boerne Independent School District, Texas",NDA,BOERNE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4801410,2849 9TH AVE,PORT ARTHUR,http://www.bobhopeschool.org,BOB HOPE SCHOOL,Yes
"Fort Scott Unified USD 234, Kansas",NDA,FORT SCOTT UNIFIED USD 234,KANSAS,NCES_District-2006180,424 S. Main,Fort Scott,http://www.usd234.org,FORT SCOTT,Yes
"Lawrence Public Schools, Massachusetts",NDA,LAWRENCE PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2506660,237 Essex Street,Lawrence,http://www.lawrence.k12.ma.us,LAWRENCE,Yes
"Sumter County District Schools, Florida",NDA,SUMTER COUNTY DISTRICT SCHOOLS,FLORIDA,NCES_District-1201800,2680 WEST COUNTY ROAD 476,BUSHNELL,http://www.sumter.k12.fl.us/,SUMTER,Yes
"Somerville Borough School District, New Jersey",NDA,SOMERVILLE BOROUGH SCHOOL DISTRICT,NEW JERSEY,NCES_District-3400727,95 Broadway,Jersey City,http://www.teccs-jc.org/,THE ETHICAL COMMUNITY CHARTER SCHOOL SCHOOL DISTIRCT,Yes
"Charleston Community Unit School District No. 1, Illinois",NDA,CHARLESTON COMMUNITY UNIT SCHOOL DISTRICT NO. 1,ILLINOIS,NCES_District-1717580,728 W North St,Grayville,http://www.gcusd.com,GRAYVILLE CUSD 1,Yes
"Falmouth Schools, Maine",NDA,FALMOUTH SCHOOLS,MAINE,NCES_District-2305670,51 Woodville Road,Falmouth,http://www.falmouthschools.org,FALMOUTH PUBLIC SCHOOLS,Yes
"Carlisle Public Schools, Massachusetts",NDA,CARLISLE PUBLIC SCHOOLS,MASSACHUSETTS,NCES_District-2503330,83 School Street,Carlisle,http://www.carlisle.k12.ma.us,CARLISLE,Yes
"New York City School District #30, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #30,NEW YORK,NCES_District-3602820,PO BOX 97,PARISH,http://www.apwschools.org,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,Yes
"Festus R-VI School District, Missouri",NDA,FESTUS R-VI SCHOOL DISTRICT,MISSOURI,NCES_District-2912030,1515 Mid-Meadow Lane,Festus,http://WWW.FESTUS.K12.MO.US,FESTUS R-VI,Yes
"Sayreville Public Schools, New Jersey",NDA,SAYREVILLE PUBLIC SCHOOLS,NEW JERSEY,NCES_District-3407800,31 Route 181,Lake Hopatcong,http://www.jefftwp.org,JEFFERSON TOWNSHIP PUBLIC SCHOOL DISTRICT,Yes
"Madison Park Business & Art Academy, California",NDA,MADISON PARK BUSINESS & ART ACADEMY,CALIFORNIA,NCES_District-0602388,580 N. Wilma Ave. Ste. G,Ripon,http://www.connectionsacademy.com/calca,CALIFORNIA CONNECTIONS ACADEMY NORTHERN CALIFORNIA DISTRICT,Yes
"Woonsocket Education Department, Rhode Island",NDA,WOONSOCKET EDUCATION DEPARTMENT,RHODE ISLAND,NCES_District-4401200,McFee Administration Building,Woonsocket,,WOONSOCKET,Yes
"Terrell Independent School District, Texas",NDA,TERRELL INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800235,2951 WILLIAMS DR,GEORGETOWN,http://www.orendaeducation.org,ORENDA CHARTER SCHOOL,Yes
"Forsyth County Schools, Georgia",NDA,FORSYTH COUNTY SCHOOLS,GEORGIA,NCES_District-1302220,1120 Dahlonega Highway,Cumming,http://www.forsyth.k12.ga.us,FORSYTH COUNTY,Yes
"South Allegheny School District, Pennsylvania",NDA,SOUTH ALLEGHENY SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4221910,2743 Washington Blvd,Mc Keesport,http://www.southallegheny.org/,SOUTH ALLEGHENY SD,Yes
"Berks County Intermediate Unit 14, Pennsylvania",NDA,BERKS COUNTY INTERMEDIATE UNIT 14,PENNSYLVANIA,NCES_District-4289110,One Intermediate Unit Drive,Coal Center,http://www.iu1.org,INTERMEDIATE UNIT 1,Yes
"City School District of New Rochelle, New York",NDA,CITY SCHOOL DISTRICT OF NEW ROCHELLE,NEW YORK,NCES_District-3620490,515 NORTH AVE,NEW ROCHELLE,http://www.nred.org,NEW ROCHELLE CITY SCHOOL DISTRICT,Yes
"County of Los Angeles - Internal Services, California",NDA,COUNTY OF LOS ANGELES - INTERNAL SERVICES,CALIFORNIA,NCES_District-0622590,10293 Bloomfield St.,Los Alamitos,http://www.losal.org,LOS ALAMITOS UNIFIED,Yes
"Placer Union High School District, California",NDA,PLACER UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0630750,13000 New Airport Rd.,Auburn,http://www.puhsd.k12.ca.us,PLACER UNION HIGH,Yes
"Great Neck Middle School, Virginia",NDA,GREAT NECK MIDDLE SCHOOL,VIRGINIA,NCES_District-5100032,512 W. Washington Street,Petersburg,http://www.args.k12.va.us,APPOMATTOX REGIONAL GOVERNOR'S SCHOOL,Yes
"South Holland School District #150, Illinois",NDA,SOUTH HOLLAND SCHOOL DISTRICT #150,ILLINOIS,NCES_District-1736780,206 Main St,South Pekin,http://www.spgs.net,SOUTH PEKIN SD 137,Yes
"Wilton Community School District, Iowa",NDA,WILTON COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1931800,1002 Cypress St,Wilton,http://www.wiltoncsd.org,WILTON COMM SCHOOL DISTRICT,Yes
"Mt. Diablo Unified School District, California",NDA,MT. DIABLO UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0626370,1936 Carlotta Dr.,Concord,http://www.mdusd.org,MT. DIABLO UNIFIED,Yes
"Clear Lake Community School District, Iowa",NDA,CLEAR LAKE COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1907620,1529 3rd Avenue North,Clear Lake,http://www.clearlakeschools.org,CLEAR LAKE COMM SCHOOL DISTRICT,Yes
"Commodore Options School, Washington",NDA,COMMODORE OPTIONS SCHOOL,WASHINGTON,NCES_District-5309690,PO BOX 11739,SPOKANE,http://www.wvsd.org,WEST VALLEY SCHOOL DISTRICT (SPOKANE),Yes
"Palo Alto Unified School District, California",NDA,PALO ALTO UNIFIED SCHOOL DISTRICT,CALIFORNIA,NCES_District-0629610,25 Churchill Ave,Palo Alto,http://www.pausd.org,PALO ALTO UNIFIED,Yes
"The School District of Clayton, Missouri",NDA,THE SCHOOL DISTRICT OF CLAYTON,MISSOURI,NCES_District-2909720,#2 MARK TWAIN CIRCLE,CLAYTON,http://www.claytonschools.net,CLAYTON,Yes
"York Suburban School District, Pennsylvania",NDA,YORK SUBURBAN SCHOOL DISTRICT,PENNSYLVANIA,NCES_District-4226850,1800 Hollywood Dr,York,http://www.yssd.org,YORK SUBURBAN SD,Yes
"San Felipe Del Rio CISD, Texas",NDA,SAN FELIPE DEL RIO CISD,TEXAS,NCES_District-4838900,P O DRAWER 428002,DEL RIO,http://www.sfdr-cisd.org,SAN FELIPE-DEL RIO CISD,Yes
"Deer Park Independent School District, Texas",NDA,DEER PARK INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800058,12333 N LAMAR BLVD,AUSTIN,http://www.nyos.org,NYOS CHARTER SCHOOL,Yes
"El Campo Middle School, Texas",NDA,EL CAMPO MIDDLE SCHOOL,TEXAS,NCES_District-4818300,P O BOX 20100,EL PASO,http://www.episd.org,EL PASO ISD,Yes
"Oshkosh Area Public Schools, Wisconsin",NDA,OSHKOSH AREA PUBLIC SCHOOLS,WISCONSIN,NCES_District-5514490,1900 Polk St,Stevens Point,http://www.pointschools.net,STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Yes
"Portsmouth School Department, Rhode Island",NDA,PORTSMOUTH SCHOOL DEPARTMENT,RHODE ISLAND,NCES_District-4400870,29 Middle Road,Portsmouth,,PORTSMOUTH,Yes
"Castleberry Independent School District, Texas",NDA,CASTLEBERRY INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800237,135 W WINTERGREEN RD,DESOTO,http://www.goldenruledallas.org/,GOLDEN RULE CHARTER SCHOOL,Yes
"Mt Pleasant Community School District, Iowa",NDA,MT PLEASANT COMMUNITY SCHOOL DISTRICT,IOWA,NCES_District-1919890,400 East Madison,Mount Pleasant,http://www.mtpcsd.org,MOUNT PLEASANT COMM SCHOOL DISTRICT,Yes
"City of Hampton, Virginia",NDA,CITY OF HAMPTON,VIRGINIA,NCES_District-5104152,121 University Boulevard,Fredericksburg,http://atiumw.org/,ACADEMY OF TECHNOLOGY AND INNOVATION AT UMW,Yes
"Trevor-Wilmot School, Wisconsin",NDA,TREVOR-WILMOT SCHOOL,WISCONSIN,NCES_District-5507620,208 E South St,Lake Geneva,http://lakegenevaschools.com,LAKE GENEVA J1 SCHOOL DISTRICT,Yes
"Claymont City School District, Ohio",NDA,CLAYMONT CITY SCHOOL DISTRICT,OHIO,NCES_District-3904377,201 N 3rd St,Dennison,http://www.claymontschools.org/,CLAYMONT CITY,Yes
"Faith Family Academies, Texas",NDA,FAITH FAMILY ACADEMIES,TEXAS,NCES_District-4800105,1620 FALCON DR,DESOTO,http://www.faithfamilyacademy.org,FAITH FAMILY ACADEMY,Yes
"St. Louis Public Schools, Missouri",NDA,ST. LOUIS PUBLIC SCHOOLS,MISSOURI,NCES_District-2900591,1310 Papin Street Suite 203,ST. LOUIS,http://WWW.KIPPSTL.ORG,KIPP ST LOUIS PUBLIC SCHOOLS,Yes
"Tulsa Public Schools, Oklahoma",NDA,TULSA PUBLIC SCHOOLS,OKLAHOMA,NCES_District-4030240,3027 S New Haven Ave,Tulsa,http://www.tulsaschools.org,TULSA,Yes
"Westchester Academy of International Studies, Texas",NDA,WESTCHESTER ACADEMY OF INTERNATIONAL STUDIES,TEXAS,NCES_District-4899135,6220 WESTPARK DR STE 195,HOUSTON,,UP EXCELLENCE ACADEMY,Yes
"Gardena Senior High School, California",NDA,GARDENA SENIOR HIGH SCHOOL,CALIFORNIA,NCES_District-0602119,10720 Wilmington Ave.,Los Angeles,http://simontechnology.org,ALLIANCE CINDY AND BILL SIMON TECH ACAD HIGH DIST,Yes
"William S Hart Union High School District, California",NDA,WILLIAM S HART UNION HIGH SCHOOL DISTRICT,CALIFORNIA,NCES_District-0642510,21380 Centre Pointe Pkwy.,Santa Clarita,http://www.hartdistrict.org,WILLIAM S. HART UNION HIGH,Yes
"New Jersey Institute Of Technology, New Jersey",NDA,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY,NCES_District-3400085,Katzenbach Campus 320 Sullivan Way,WEST TRENTON,,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Yes
"Niles Township High School District 219, Illinois",NDA,NILES TOWNSHIP HIGH SCHOOL DISTRICT 219,ILLINOIS,NCES_District-1701415,405 S Gladstone Ave,Aurora,,STEM PARTNERSHIP SCHOOL,Yes
"Los Lunas Public Schools, New Mexico",NDA,LOS LUNAS PUBLIC SCHOOLS,NEW MEXICO,NCES_District-3501680,PO DRAWER 1300,LOS LUNAS,http://www.llschools.net,LOS LUNAS,Yes
"Affton School District, Missouri",NDA,AFFTON SCHOOL DISTRICT,MISSOURI,NCES_District-2902910,8701 MACKENZIE RD,ST LOUIS,http://AFFTONSCHOOLS.NET,AFFTON 101,Yes
"Hamilton Elementary, Illinois",NDA,HAMILTON ELEMENTARY,ILLINOIS,NCES_District-1718060,1830 Broadway St,Hamilton,http://www.hhs328.com,HAMILTON CCSD 328,Yes
"Moline-Coal Valley School District, Illinois",NDA,MOLINE-COAL VALLEY SCHOOL DISTRICT,ILLINOIS,NCES_District-1713170,3451 Morton Dr,East Moline,http://www.emsd37.org,EAST MOLINE SD 37,Yes
"Papillion-La Vista Public Schools, Nebraska",NDA,PAPILLION-LA VISTA PUBLIC SCHOOLS,NEBRASKA,NCES_District-3170020,711 CAROLINE ST,ELBA,,ELBA PUBLIC SCHOOLS,Yes
"Wylie Independent School District, Texas",NDA,WYLIE INDEPENDENT SCHOOL DISTRICT,TEXAS,NCES_District-4800235,2951 WILLIAMS DR,GEORGETOWN,http://www.orendaeducation.org,ORENDA CHARTER SCHOOL,Yes
"Geary County Schools USD 475, Kansas",NDA,GEARY COUNTY SCHOOLS USD 475,KANSAS,NCES_District-2007890,P.O. Box 370,Junction City,http://usd475.org,GEARY COUNTY SCHOOLS,Yes
"Miami Unified School District #40, Arizona",NDA,MIAMI UNIFIED SCHOOL DISTRICT #40,ARIZONA,NCES_District-0401015,1415 MELODY LN BLDG C,BISBEE,,COCHISE COUNTY ACCOMMODATION SCHOOL DISTRICT (1001687),Yes
"California Department of State Hospitals, California",NDA,CALIFORNIA DEPARTMENT OF STATE HOSPITALS,CALIFORNIA,NCES_District-0600107,2300 Crenshaw Blvd.,Torrance,http://www.scroc.com,SOUTHERN CALIFORNIA ROC,Yes
