Agency,,Total spend (approx),Number of purchases
"South Dakota Board of Regents, South Dakota",,NDA,NDA
"Wauwatosa School District, Wisconsin",,NDA,NDA
"Elizabeth Forward School District, Pennsylvania",,NDA,NDA
"Campbell County School District #1, Wyoming",,NDA,NDA
"Seekonk Public Schools, Massachusetts",,NDA,NDA
"Town of Seekonk, Massachusetts",,NDA,NDA
"Bellefonte Area School District, Pennsylvania",,NDA,NDA
"Central Greene School District, Pennsylvania",,NDA,NDA
"Central Valley School District, New York",,NDA,NDA
"Limestone Community High School District No. 310, Illinois",,NDA,NDA
"Punxsutawney Area School District, Pennsylvania",,NDA,NDA
"Uniontown Area School District, Pennsylvania",,NDA,NDA
"Bloom Township High School District #206, Illinois",,NDA,NDA
"Millard Public Schools, Nebraska",,NDA,NDA
"Crown Preparatory Academy, California",,NDA,NDA
"Camanche Community School District, Iowa",,NDA,NDA
"Northwest Local School District (Cincinnati), Ohio",,NDA,NDA
"Clover Park School District, Washington",,NDA,NDA
"Collier County Public Schools, Florida",,NDA,NDA
"Boonville R-I School District, Missouri",,NDA,NDA
"Albany State University, Georgia",,NDA,NDA
"Walton County School District, Florida",,NDA,NDA
"Lawrence Union Free School District, New York",,NDA,NDA
"Stamford Public Schools, Connecticut",,NDA,NDA
"Pearland Independent School District, Texas",,NDA,NDA
"Livermore Valley Joint Unified School District, California",,NDA,NDA
"Long Beach City School District, New York",,NDA,NDA
"Reynolds School District, Oregon",,NDA,NDA
"Turner USD #202, Kansas",Company domain,NDA,NDA
"Genesee Intermediate School District, Michigan",,NDA,NDA
"Mather High School, Illinois",,NDA,NDA
"Jamestown Public Schools, North Dakota",,NDA,NDA
"Educational Service District 112, Washington",,NDA,NDA
"El Camino Hospital, California",,NDA,NDA
"Copperas Cove ISD, Texas",,NDA,NDA
"Lancaster City School District, Ohio",,NDA,NDA
"Airport Community Schools, Michigan",,NDA,NDA
"Flushing Community Schools, Michigan",,NDA,NDA
"Skokie-Morton Grove School District No. 69, Illinois",,NDA,NDA
"Hartford Union High School District, Wisconsin",,NDA,NDA
"Broome-Tioga BOCES, New York",,NDA,NDA
"Educational Service District 105, Washington",,NDA,NDA
"Belchertown Public Schools, Massachusetts",,NDA,NDA
"Montoursville Area School District, Pennsylvania",,NDA,NDA
"Olathe Public Schools USD 233, Kansas",,NDA,NDA
"St. Landry Parish School Board, Louisiana",,NDA,NDA
"St. James Parish Schools, Louisiana",,NDA,NDA
"Clear Creek ISD, Texas",,NDA,NDA
"Clarke County, Virginia",,NDA,NDA
"Texas A&M University, Texas",,NDA,NDA
"Lamar County School District, Mississippi",,NDA,NDA
"Union County College, New Jersey",,NDA,NDA
"South Baton Rouge Charter Academy, Louisiana",,NDA,NDA
"Edmonds School District, Washington",,NDA,NDA
"Moravia Central School District, New York",,NDA,NDA
"Davis County Community School District, Iowa",,NDA,NDA
"Sioux City Community School District, Iowa",,NDA,NDA
"Baldwinsville Central School District, New York",,NDA,NDA
"Fayette Local School District, Ohio",,NDA,NDA
"New York City Department of Education, New York",,NDA,NDA
"Ohio County Schools, West Virginia",,NDA,NDA
"Fairview South School District #72, Illinois",,NDA,NDA
"Galion City School District, Ohio",,NDA,NDA
"North Little Rock School District, Arkansas",,NDA,NDA
"Singing River Health System, Mississippi",,NDA,NDA
"St. Paul Public School District No. 625, Minnesota",,NDA,NDA
"Mt. Vernon Community School Corporation, Indiana",,NDA,NDA
"Cypress Fairbanks ISD, Texas",,NDA,NDA
"Westmont Community Unit School District No. 201, Illinois",,NDA,NDA
"New York City School District #28, New York",,NDA,NDA
"Wichita Unified School District 259, Kansas",,NDA,NDA
"Marion County Schools, West Virginia",,NDA,NDA
"Fort Wayne Community Schools, Indiana",,NDA,NDA
"Liberty Public School District No. 53, Missouri",,NDA,NDA
"Garland Independent School District, Texas",,NDA,NDA
"Huber Heights City School District, Ohio",,NDA,NDA
"Snoqualmie Valley School District, Washington",,NDA,NDA
"Fresno Unified School District, California",,NDA,NDA
"Parkway School District, Missouri",,NDA,NDA
"Timberlane Regional School District, New Hampshire",,NDA,NDA
"Manheim Township School District, Pennsylvania",,NDA,NDA
"Cook-Wissahickon School, Pennsylvania",,NDA,NDA
"Pierz School District No. 484, Minnesota",,NDA,NDA
"Weld County Reorganized School District No. Re-3J, Colorado",,NDA,NDA
"Santa Cruz County Office of Education, California",,NDA,NDA
"Miami University, Ohio",,NDA,NDA
"Chino Valley Unified School District, California",,NDA,NDA
"Beaumont Independent School District, Texas",,NDA,NDA
"Averill Park Central School District, New York",,NDA,NDA
"Canton Union School District No. 66, Illinois",,NDA,NDA
"one.Charter - Academy of Visual and Performing Arts, California",,NDA,NDA
"Round Rock ISD, Texas",,NDA,NDA
"Saratoga Union School District, California",,NDA,NDA
"General Services Administration, District of Columbia",,NDA,NDA
"Biddeford School Unit, Maine",,NDA,NDA
"Raul Perales Middle School, Texas",,NDA,NDA
"Midway Middle School, Texas",,NDA,NDA
"River Valley Middle School, Texas",,NDA,NDA
"Grand Prairie ISD, Texas",,NDA,NDA
"Quincy School District, Washington",,NDA,NDA
"Sacramento County Office of Education, California",,NDA,NDA
"Stanly Community College, North Carolina",,NDA,NDA
"St. Clair R-XIII School District, Missouri",,NDA,NDA
"Grand Island Central School District, New York",,NDA,NDA
"Calhoun County School District, Florida",,NDA,NDA
"Sylvania City School District, Ohio",,NDA,NDA
"Aldine ISD, Texas",,NDA,NDA
"Flathead County, Montana",,NDA,NDA
"Berkeley School District #87, Illinois",,NDA,NDA
"Montgomery Junior High School, Texas",,NDA,NDA
"Cuyahoga Community College, Ohio",,NDA,NDA
"Orono Independent School District No. 278, Minnesota",,NDA,NDA
"Uplift Education, Texas",,NDA,NDA
"STEM Academy at Bernstein High School, California",,NDA,NDA
"MiraCosta College, California",,NDA,NDA
"Central Community Unit School District No. 301, Illinois",,NDA,NDA
"Cedarburg School District, Wisconsin",,NDA,NDA
"South Haven Public Schools, Michigan",,NDA,NDA
"Iowa City Community School District, Iowa",,NDA,NDA
"Pullman School District, Washington",,NDA,NDA
"Prairie-Hills Elementary School District #144, Illinois",,NDA,NDA
"Shrewsbury Public Schools, Massachusetts",,NDA,NDA
"Department of Health and Human Services - GSA, District of Columbia",,NDA,NDA
"Putnam County Schools, West Virginia",,NDA,NDA
"Stillwater Area Public Schools, Minnesota",,NDA,NDA
"North Brevard County Hospital District, Florida",,NDA,NDA
"Nassau BOCES, New York",,NDA,NDA
"Monroe Township School District (Middlesex County), New Jersey",,NDA,NDA
"Butte Vista School, California",,NDA,NDA
"Channahon School District No. 17, Illinois",,NDA,NDA
"Newfane Central School District, New York",,NDA,NDA
"West Plains R-VII Schools, Missouri",,NDA,NDA
"Aspire Pacific College Preparatory Academy, California",,NDA,NDA
"Lemoore Union High School District, California",,NDA,NDA
"West Greene School District, Pennsylvania",,NDA,NDA
"Brooke County Schools, West Virginia",,NDA,NDA
"Chicago Public Schools, Illinois",,NDA,NDA
"Lemont-Bromberek Combined School District 113A, Illinois",,NDA,NDA
"Nashoba Regional School District, Massachusetts",,NDA,NDA
"Spring Grove Area School District, Pennsylvania",,NDA,NDA
"Goodrich Area Schools, Michigan",,NDA,NDA
"Desert Sands Unified School District, California",,NDA,NDA
"Department of Agriculture - GSA, District of Columbia",,NDA,NDA
"Center Cass School District No. 66, Illinois",,NDA,NDA
"Greenbrier Public Schools, Arkansas",,NDA,NDA
"Jonesville Community Schools, Michigan",,NDA,NDA
"Chicago State University, Illinois",,NDA,NDA
"Radnor Township School District, Pennsylvania",,NDA,NDA
"Department of Commerce - GSA, District of Columbia",,NDA,NDA
"Storm Lake Community School District, Iowa",,NDA,NDA
"Upper St. Clair School District, Pennsylvania",,NDA,NDA
"Indiana University, Indiana",,NDA,NDA
"Northern York County School District, Pennsylvania",,NDA,NDA
"Technology High School, California",,NDA,NDA
"Wyoming City School District, Ohio",,NDA,NDA
"Saginaw City School District, Michigan",,NDA,NDA
"McCook Public Schools, Nebraska",,NDA,NDA
"Chippewa Falls Area Unified SD, Wisconsin",,NDA,NDA
"San Marcos CISD, Texas",,NDA,NDA
"Scranton School District, Pennsylvania",,NDA,NDA
"Highland Falls-Fort Montgomery Central School District, New York",,NDA,NDA
"Oregon School District, Wisconsin",,NDA,NDA
"Lancaster ISD, Texas",,NDA,NDA
"Oak Creek-Franklin Joint School District, Wisconsin",,NDA,NDA
"New York City School District #9, New York",,NDA,NDA
"Okanogan School District, Washington",,NDA,NDA
"Upper Dublin School District, Pennsylvania",,NDA,NDA
"Columbia Falls School District, Montana",,NDA,NDA
"Otselic Valley Central School District, New York",,NDA,NDA
"Richfield Independent School District No. 280, Minnesota",,NDA,NDA
"Muskogee Public Schools, Oklahoma",,NDA,NDA
"University Of New Hampshire, New Hampshire",,NDA,NDA
"University System of New Hampshire Offices, New Hampshire",,NDA,NDA
"Richard Bland College, Virginia",,NDA,NDA
"Mt. Lebanon School District, Pennsylvania",,NDA,NDA
"Montachusett Regional Vocational Technical School, Massachusetts",,NDA,NDA
"Union Grove Union High School District, Wisconsin",,NDA,NDA
"A. Philip Randolph AVT High School, Pennsylvania",,NDA,NDA
"Conroe ISD, Texas",,NDA,NDA
"Lemmon School District 52-4, South Dakota",,NDA,NDA
"River Trails School District 26, Illinois",,NDA,NDA
"Wilson Area School District, Pennsylvania",,NDA,NDA
"School District of Springfield Township, Pennsylvania",,NDA,NDA
"Town of Shrewsbury, Massachusetts",,NDA,NDA
"Pennridge School District, Pennsylvania",,NDA,NDA
"Fayette County Board of Education, Georgia",,NDA,NDA
"Kelso School District No. 458, Washington",,NDA,NDA
"Port Jefferson School District, New York",,NDA,NDA
"Little Rock School District, Arkansas",,NDA,NDA
"Lincoln High School, California",,NDA,NDA
"Paradise Valley Unified School District, Arizona",,NDA,NDA
"Brockport Central School District, New York",,NDA,NDA
"Hudson School District, Wisconsin",,NDA,NDA
"Avella Area School District, Pennsylvania",,NDA,NDA
"Central Community College, Nebraska",,NDA,NDA
"IDEA Public Schools, Texas",,NDA,NDA
"West Philadelphia High School, Pennsylvania",,NDA,NDA
"Houston ISD, Texas",,NDA,NDA
"North Colonie Central Schools, New York",,NDA,NDA
"Benson Unified School District- Cochise County #9, Arizona",,NDA,NDA
"Boerne Independent School District, Texas",,NDA,NDA
"Fort Scott Unified USD 234, Kansas",,NDA,NDA
"Lawrence Public Schools, Massachusetts",,NDA,NDA
"Sumter County District Schools, Florida",,NDA,NDA
"Somerville Borough School District, New Jersey",,NDA,NDA
"Charleston Community Unit School District No. 1, Illinois",,NDA,NDA
"Falmouth Schools, Maine",,NDA,NDA
"Nash County Public Schools, North Carolina",,NDA,NDA
"Southgate Community School District, Michigan",,NDA,NDA
"Carlisle Public Schools, Massachusetts",,NDA,NDA
"New York City School District #30, New York",,NDA,NDA
"Festus R-VI School District, Missouri",,NDA,NDA
"Sayreville Public Schools, New Jersey",,NDA,NDA
"Madison Park Business & Art Academy, California",,NDA,NDA
"Woonsocket Education Department, Rhode Island",,NDA,NDA
"Terrell Independent School District, Texas",,NDA,NDA
"Forsyth County Schools, Georgia",,NDA,NDA
"Randolph County School System, North Carolina",,NDA,NDA
"South Allegheny School District, Pennsylvania",,NDA,NDA
"Berks County Intermediate Unit 14, Pennsylvania",,NDA,NDA
"Irvington Union Free School District, New York",,NDA,NDA
"Hamilton Central School District, New York",,NDA,NDA
"City School District of New Rochelle, New York",,NDA,NDA
"North Country Supervisory Union, Vermont",,NDA,NDA
"County of Los Angeles - Internal Services, California",,NDA,NDA
"Placer Union High School District, California",,NDA,NDA
"Great Neck Middle School, Virginia",,NDA,NDA
"South Holland School District #150, Illinois",,NDA,NDA
"Wilton Community School District, Iowa",,NDA,NDA
"Mt. Diablo Unified School District, California",,NDA,NDA
"Clear Lake Community School District, Iowa",,NDA,NDA
"Commodore Options School, Washington",,NDA,NDA
"Palo Alto Unified School District, California",,NDA,NDA
"The School District of Clayton, Missouri",,NDA,NDA
"Wheatland-Chili Central School District, New York",,NDA,NDA
"York Suburban School District, Pennsylvania",,NDA,NDA
"San Felipe Del Rio CISD, Texas",,NDA,NDA
"Scottsbluff Public Schools, Nebraska",,NDA,NDA
"Deer Park Independent School District, Texas",,NDA,NDA
"El Campo Middle School, Texas",,NDA,NDA
"Oshkosh Area Public Schools, Wisconsin",,NDA,NDA
"Acadiana Renaissance Charter Academy, Louisiana",,NDA,NDA
"Olympia School District, Washington",,NDA,NDA
"Edgemont Union Free School District, New York",,NDA,NDA
"Bedford Public Schools, Michigan",,NDA,NDA
"Portsmouth School Department, Rhode Island",,NDA,NDA
"Middle Country Central School District, New York",,NDA,NDA
"Castleberry Independent School District, Texas",,NDA,NDA
"Mt Pleasant Community School District, Iowa",,NDA,NDA
"Greenwood ISD, Texas",,NDA,NDA
"Westside Community Schools, Nebraska",,NDA,NDA
"City of Hampton, Virginia",,NDA,NDA
"Trevor-Wilmot School, Wisconsin",,NDA,NDA
"Claymont City School District, Ohio",,NDA,NDA
"Faith Family Academies, Texas",,NDA,NDA
"St. Louis Public Schools, Missouri",,NDA,NDA
"Tulsa Public Schools, Oklahoma",,NDA,NDA
"Westchester Academy of International Studies, Texas",,NDA,NDA
"Gardena Senior High School, California",,NDA,NDA
"William S Hart Union High School District, California",,NDA,NDA
"Lake Fenton Community Schools, Michigan",,NDA,NDA
"College Station ISD, Texas",,NDA,NDA
"New Jersey Institute Of Technology, New Jersey",,NDA,NDA
"Niles Township High School District 219, Illinois",,NDA,NDA
"Los Lunas Public Schools, New Mexico",,NDA,NDA
"Affton School District, Missouri",,NDA,NDA
"Boulder Valley School District No. Re2, Colorado",,NDA,NDA
"Rye City School District, New York",,NDA,NDA
"Frederick County Public Schools, Maryland",,NDA,NDA
"Fresno County Office of Education, California",,NDA,NDA
"Pinelands Regional School District, New Jersey",,NDA,NDA
"Ballston Spa Central School District, New York",,NDA,NDA
"Elgin ISD, Texas",,NDA,NDA
"Hamilton Elementary, Illinois",,NDA,NDA
"Moline-Coal Valley School District, Illinois",,NDA,NDA
"Papillion-La Vista Public Schools, Nebraska",,NDA,NDA
"Wylie Independent School District, Texas",,NDA,NDA
"Geary County Schools USD 475, Kansas",,NDA,NDA
"Stanley-Boyd Area School District, Wisconsin",,NDA,NDA
"Miami Unified School District #40, Arizona",,NDA,NDA
"California Department of State Hospitals, California",,NDA,NDA
"Roseville Joint Union High School District, California",,NDA,NDA
"Woodward Middle School, Washington",,NDA,NDA
"East Ramapo Central School District, New York",,NDA,NDA
"Middletown Enlarged City School District, New York",,NDA,NDA
"North Smithfield School Department, Rhode Island",,NDA,NDA
"Roseville Community Schools, Michigan",,NDA,NDA
"Norwood Public Schools, Massachusetts",,NDA,NDA
"Mohawk Trail Regional School District, Massachusetts",,NDA,NDA
"Montour School District, Pennsylvania",,NDA,NDA
"Charles County Public Schools, Maryland",,NDA,NDA
"Russellville School District No. 14, Arkansas",,NDA,NDA
"New York City School District #2, New York",,NDA,NDA
"Lorain County Community College, Ohio",,NDA,NDA
"Dansville School District, New York",,NDA,NDA
"Cassia County Joint School District #151, Idaho",,NDA,NDA
"Apple Valley Unified School District, California",,NDA,NDA
"Hickory Ridge High School, North Carolina",,NDA,NDA
"La Paz Middle School, California",,NDA,NDA
"City of Cheyenne, Wyoming",,NDA,NDA
"Alamo Community College District, Texas",,NDA,NDA
"District of Columbia - GSA, District of Columbia",,NDA,NDA
"Northport-East Northport Union Free School District, New York",,NDA,NDA
"City of Coppell, Texas",,NDA,NDA
"Berkley School District, Massachusetts",,NDA,NDA
"Ridgemont Local School District, Ohio",,NDA,NDA
"Marple Newtown School District, Pennsylvania",,NDA,NDA
"West Chester Area School District, Pennsylvania",,NDA,NDA
"Stockbridge Community Schools, Michigan",,NDA,NDA
"Monroe 2-Orleans BOCES, New York",,NDA,NDA
"Rockport-Fulton ISD, Texas",,NDA,NDA
"Cheney High School, Washington",,NDA,NDA
"Palm Beach County Water Utilities, Florida",,NDA,NDA
"Putnam County Charter School System, Georgia",,NDA,NDA
"Senn High School, Illinois",,NDA,NDA
"Santa Clara Unified School District, California",,NDA,NDA
"Karns City Area School District, Pennsylvania",,NDA,NDA
"Westhill Central School District, New York",,NDA,NDA
"Burlingame School District, California",,NDA,NDA
"Lamar University, Texas",,NDA,NDA
"Altoona Area School District, Pennsylvania",,NDA,NDA
"Cascade School District No. 228, Washington",,NDA,NDA
"Hutchinson Public School District No. 423, Minnesota",,NDA,NDA
"Glen Cove City School District, New York",,NDA,NDA
"Hermiston School District, Oregon",,NDA,NDA
"University Of Georgia, Georgia",,NDA,NDA
"Hamburg School District, Arkansas",,NDA,NDA
"Collegium Charter School, Pennsylvania",,NDA,NDA
"Arlington Independent School District, Texas",,NDA,NDA
"East Avenue Middle School, California",,NDA,NDA
"Florida State University (FSU), Florida",,NDA,NDA
"Benjamin School District 25, Illinois",,NDA,NDA
"Ft. Thomas Independent Schools, Kentucky",,NDA,NDA
"Sunnybrook School District No. 171, Illinois",,NDA,NDA
"Highline College, Washington",,NDA,NDA
"City of Barnstable Town, Massachusetts",,NDA,NDA
"Iron County School District, Utah",,NDA,NDA
"Neah-Kah-Nie School District, Oregon",,NDA,NDA
"Truth or Consequences Municipal Schools, New Mexico",,NDA,NDA
"Uinta County School District #1, Wyoming",,NDA,NDA
"Kirtland Local School District, Ohio",,NDA,NDA
"OABCIG Community School District, Iowa",,NDA,NDA
"Scarborough Public Schools, Maine",,NDA,NDA
"Ashland Public Schools, Massachusetts",,NDA,NDA
"Eastampton Township School District, New Jersey",,NDA,NDA
"Tewksbury Public Schools, Massachusetts",,NDA,NDA
"School District of Nekoosa, Wisconsin",,NDA,NDA
"Hampden-Wilbraham Regional School District, Massachusetts",,NDA,NDA
"School District of Bismarck, North Dakota",,NDA,NDA
"Thomasville City School District, North Carolina",,NDA,NDA
"Copley-Fairlawn City School District, Ohio",,NDA,NDA
"Coeur d' Alene Public Schools, Idaho",,NDA,NDA
"Converse County School District #1, Wyoming",,NDA,NDA
"Niagara Falls City School District, New York",,NDA,NDA
"Cabell County Schools, West Virginia",,NDA,NDA
"Aspen Elementary School, Wyoming",,NDA,NDA
"Nevada R-V School District, Missouri",,NDA,NDA
"Spencer Community School District, Iowa",,NDA,NDA
"Kenmore-Tonawanda Union Free School District, New York",,NDA,NDA
"New York City School District #22, New York",,NDA,NDA
"Staples-Motley Independent School District No. 2170, Minnesota",,NDA,NDA
"Town of Scarborough, Maine",,NDA,NDA
"Sun Prairie Area School District, Wisconsin",,NDA,NDA
"Palatine Community Consolidated School District No. 15, Illinois",,NDA,NDA
"Canoga Park Elementary School, California",,NDA,NDA
"Waunakee Community School District, Wisconsin",,NDA,NDA
"Bemidji Area Schools Independent School District No. 31, Minnesota",,NDA,NDA
"Sycamore Community City School District, Ohio",,NDA,NDA
"Norfolk City Public Schools, Virginia",,NDA,NDA
"School District of Mauston, Wisconsin",,NDA,NDA
"Harlingen Consolidated Independent School District, Texas",,NDA,NDA
"New Lexington City School District, Ohio",,NDA,NDA
"Milton Area School District, Pennsylvania",,NDA,NDA
"Ridgewood Community High School District #234, Illinois",,NDA,NDA
"Saline Area Schools, Michigan",,NDA,NDA
"Otsego Northern Catskills BOCES, New York",,NDA,NDA
"Fall River Public Schools, Massachusetts",,NDA,NDA
"Kranz Junior High School, Texas",,NDA,NDA
"Montgomery County R-II School District, Missouri",,NDA,NDA
"New Bedford Public Schools, Massachusetts",,NDA,NDA
"Richland-Bean Blossom Community School Corporation, Indiana",,NDA,NDA
"Shelby Eastern Schools, Indiana",,NDA,NDA
"Montville Township Public Schools, New Jersey",,NDA,NDA
"East Gibson School Corporation, Indiana",,NDA,NDA
"Paul Laurence Dunbar High School, Kentucky",,NDA,NDA
"Sweet Home Central School District, New York",,NDA,NDA
"West Bloomfield School District, Michigan",,NDA,NDA
"Needville Independent School District, Texas",,NDA,NDA
"Wahpeton Public Schools, North Dakota",,NDA,NDA
"Upper Perkiomen School District, Pennsylvania",,NDA,NDA
"Neenah Joint School District, Wisconsin",,NDA,NDA
"Crandon School District, Wisconsin",,NDA,NDA
"Department for Aging and Rehabilitative Services, Virginia",,NDA,NDA
"Seattle School District 1, Washington",,NDA,NDA
"Lake Travis ISD, Texas",,NDA,NDA
"Town Of Collierville, Tennessee",,NDA,NDA
"San Diego County Office of Education, California",,NDA,NDA
"Urban Promise Academy, California",,NDA,NDA
"West Fargo Public Schools, North Dakota",,NDA,NDA
"City of South Portland, Maine",,NDA,NDA
"South Mountain Community College, Arizona",,NDA,NDA
"Mt Vernon R-5 School District, Missouri",,NDA,NDA
"Jonesboro Public Schools, Arkansas",,NDA,NDA
"Franklin Area School District, Pennsylvania",,NDA,NDA
"Hermitage School District, Pennsylvania",,NDA,NDA
"Tornillo Independent School District, Texas",,NDA,NDA
"University of North Carolina Hospital, North Carolina",,NDA,NDA
"Smithville R-II School District, Missouri",,NDA,NDA
"School District of Somerset, Wisconsin",,NDA,NDA
"Hamilton Southeastern Schools, Indiana",,NDA,NDA
"Texas A&M Engineering Experiment Station, Texas",,NDA,NDA
"El Dorado School District, Arkansas",,NDA,NDA
"Hudson City School District, New York",,NDA,NDA
"Rockwall Independent School District, Texas",,NDA,NDA
"Grambling State University, Louisiana",,NDA,NDA
"Andover Public Schools, Massachusetts",,NDA,NDA
"Downsville Central School District, New York",,NDA,NDA
"East Valley Central Middle School, Washington",,NDA,NDA
"San Bernardino County Superintendent of Schools, California",,NDA,NDA
"Jefferson County, Idaho",,NDA,NDA
"Grapevine-Colleyville Independent School District, Texas",,NDA,NDA
"Copper Country Independent School District, Michigan",,NDA,NDA
"Pine Hill Borough School District, New Jersey",,NDA,NDA
"Escondido Union School District, California",,NDA,NDA
"Midview Local School District, Ohio",,NDA,NDA
"East Grand School District No. 2 School District, Colorado",,NDA,NDA
"El Dorado Union High School District, California",,NDA,NDA
"Killeen ISD, Texas",,NDA,NDA
"Randolph Township School District, New Jersey",,NDA,NDA
"Cedar Grove Belgium School District, Wisconsin",,NDA,NDA
"West Windsor-Plainsboro Regional School District, New Jersey",,NDA,NDA
"Irvine Unified School District, California",,NDA,NDA
"Clark County Schools, Kentucky",,NDA,NDA
"Mt. Adams School District No. 209, Washington",,NDA,NDA
"Bellbrook-Sugarcreek Local School District, Ohio",,NDA,NDA
"SUNY Upstate Medical University, New York",,NDA,NDA
"South Plainfield Borough School District, New Jersey",,NDA,NDA
"Northern State University, South Dakota",,NDA,NDA
"Gentry School District No. 19, Arkansas",,NDA,NDA
"Connecticut State Colleges & Universities, Connecticut",,NDA,NDA
"Jasper Independent School District, Texas",,NDA,NDA
"Mansfield Public Schools, Massachusetts",,NDA,NDA
"Watauga County Schools, North Carolina",,NDA,NDA
"West De Pere School District, Wisconsin",,NDA,NDA
"University of Central Missouri, Missouri",,NDA,NDA
"Center Point-Urbana Community School District, Iowa",,NDA,NDA
"City of Las Cruces, New Mexico",,NDA,NDA
"Franklin Community Schools, Indiana",,NDA,NDA
"Washougal School District, Washington",,NDA,NDA
"Summit Hill School District 161, Illinois",,NDA,NDA
"Pleasant Valley Community School District, Iowa",,NDA,NDA
"Hendrick Hudson School District, New York",,NDA,NDA
"Somerset Public Schools, Massachusetts",,NDA,NDA
"Magnolia Independent School District, Texas",,NDA,NDA
"Newton-Conover City Schools, North Carolina",,NDA,NDA
"Mankato Area Public Schools ISD No. 77, Minnesota",,NDA,NDA
"Mexico Academy & Central School District, New York",,NDA,NDA
"City of Waupun, Wisconsin",,NDA,NDA
"Jefferson-Lewis BOCES, New York",,NDA,NDA
"Lammersville Unified School District, California",,NDA,NDA
"Wright State University, Ohio",,NDA,NDA
"New Caney Independent School District, Texas",,NDA,NDA
"University of Wisconsin System, Wisconsin",,NDA,NDA
"Bay Shore Regional Sewerage Authority, New Jersey",,NDA,NDA
"Rochester Area School District, Pennsylvania",,NDA,NDA
"Bullard Independent School District, Texas",,NDA,NDA
"Florida Agricultural & Mechanical University (Florida A & M), Florida",,NDA,NDA
"Middlesex County College, New Jersey",,NDA,NDA
"Los Angeles City College, California",,NDA,NDA
"Dover Area School District, Pennsylvania",,NDA,NDA
"Park Ridge-Niles Community Consolidated School District No. 64, Illinois",,NDA,NDA
"Roanoke City Public Schools, Virginia",,NDA,NDA
"Lorain County Joint Vocational School District, Ohio",,NDA,NDA
"Norfolk State University, Virginia",,NDA,NDA
"University of Central Florida, Florida",,NDA,NDA
"Indiana University/Purdue University-Indianapolis, Indiana",,NDA,NDA
"Frazee-Vergas Independent School District No. 23, Minnesota",,NDA,NDA
"Georgia Department of Public Safety, Georgia",,NDA,NDA
"Rockford Independent School District No. 883, Minnesota",,NDA,NDA
"Roseville High School, California",,NDA,NDA
"Ballard Community School District, Iowa",,NDA,NDA
"City of El Paso, Texas",,NDA,NDA
"City of Gardner, Massachusetts",,NDA,NDA
"Lake Chelan School District No. 129, Washington",,NDA,NDA
"Manteno Community Unit School District No. 5, Illinois",,NDA,NDA
"Mayfield Central School District, New York",,NDA,NDA
"Schuylerville Central School District, New York",,NDA,NDA
"Sehome High School, Washington",,NDA,NDA
"College Community School District, Iowa",,NDA,NDA
"Riverton Unified School District 404, Kansas",,NDA,NDA
"School District of Fargo, North Dakota",,NDA,NDA
"University of Northern Iowa, Iowa",,NDA,NDA
"Marcellus Central School District, New York",,NDA,NDA
"Salem State University, Massachusetts",,NDA,NDA
"Parish of St. John The Baptist, Louisiana",,NDA,NDA
"Palos Community Consolidated School District No. 118, Illinois",,NDA,NDA
"Hutto Independent School District, Texas",,NDA,NDA
"City of Holtville, California",,NDA,NDA
"Reedsburg School District, Wisconsin",,NDA,NDA
"Earlimart School District, California",,NDA,NDA
"Tri Valley School District 49-6, South Dakota",,NDA,NDA
"Clint Independent School District, Texas",,NDA,NDA
"Laurel Highlands School District, Pennsylvania",,NDA,NDA
"Clarence Central School District, New York",,NDA,NDA
"West Chester University Of Pennsylvania, Pennsylvania",,NDA,NDA
"Town of Normal, Illinois",,NDA,NDA
"Baker County School Board, Florida",,NDA,NDA
"Horseheads Central School District, New York",,NDA,NDA
"Nadaburg School District 81, Arizona",,NDA,NDA
"Seaford Union Free School District, New York",,NDA,NDA
"College of Lake County, Illinois",,NDA,NDA
"Jackson County Intermediate School District, Michigan",,NDA,NDA
"Hartford School District, Vermont",,NDA,NDA
"Keokuk Community School District, Iowa",,NDA,NDA
"Greece Central School District, New York",,NDA,NDA
"Harvey County, Kansas",,NDA,NDA
"Mount Morris Central School District, New York",,NDA,NDA
"Yellville-Summit School District, Arkansas",,NDA,NDA
"Florida Department of Health, Florida",,NDA,NDA
"Michigan State University, Michigan",,NDA,NDA
"Teaneck Township School District, New Jersey",,NDA,NDA
"Bay Path Regional Vocational Technical High School, Massachusetts",,NDA,NDA
"Bellingham School District, Washington",,NDA,NDA
"Tuscola Intermediate School District, Michigan",,NDA,NDA
"Jackson County Schools, West Virginia",,NDA,NDA
"Washington Unified School District, California",,NDA,NDA
"Chaffey College, California",,NDA,NDA
"Marshall County, Iowa",,NDA,NDA
"City of Tacoma, Washington",,NDA,NDA
"Tacoma Public Utilities, Washington",,NDA,NDA
"Tolles Joint Vocational School District, Ohio",,NDA,NDA
"University of Michigan - Dearborn, Michigan",,NDA,NDA
"Washington State Department of Social and Health Services, Washington",,NDA,NDA
"Stafford Public Schools, Connecticut",,NDA,NDA
"Washington County, Oregon",,NDA,NDA
"Williston Public School District #7, North Dakota",,NDA,NDA
"Clearbrook-Gonvick School District, Minnesota",,NDA,NDA
"Oakmont High School, California",,NDA,NDA
"Ridgefield School District, Washington",,NDA,NDA
"Manassas City Public Schools, Virginia",,NDA,NDA
"Brandon Valley School District, South Dakota",,NDA,NDA
"Mukilteo School District, Washington",,NDA,NDA
"Berks Career and Technology Center, Pennsylvania",,NDA,NDA
